# cinzal-simulate v1 seed=e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09 git_sha=7ce0fd6c7b44e25704aac8001f481628938e2d98 matches=10000 players=2 bots=operator sweep=LeaseCostPerBlock:0,1,2,3,4,6,10
status,error,sweep.LeaseCostPerBlock,players,bot_tier,match_count,matches_completed,root_seed,git_sha,config_json,RoutesCancelledMidRoute_mean,RoutesCancelledMidRoute_half_width,RoutesCancelledMidRoute_n,RoutesCancelledMidRoute_excluded,DeliveriesPerPlayer_mean,DeliveriesPerPlayer_half_width,DeliveriesPerPlayer_n,DeliveriesPerPlayer_excluded,WinnerRPLeadOverLastPlace_mean,WinnerRPLeadOverLastPlace_half_width,WinnerRPLeadOverLastPlace_n,WinnerRPLeadOverLastPlace_excluded,AnyPlayerReachedInfamy9_mean,AnyPlayerReachedInfamy9_half_width,AnyPlayerReachedInfamy9_n,AnyPlayerReachedInfamy9_excluded,AnyPlayerStayedAtInfamy2OrBelow_mean,AnyPlayerStayedAtInfamy2OrBelow_half_width,AnyPlayerStayedAtInfamy2OrBelow_n,AnyPlayerStayedAtInfamy2OrBelow_excluded,SectorIncidentsHittingAPlayer_mean,SectorIncidentsHittingAPlayer_half_width,SectorIncidentsHittingAPlayer_n,SectorIncidentsHittingAPlayer_excluded,LiveLeasesAtFinalScoring_mean,LiveLeasesAtFinalScoring_half_width,LiveLeasesAtFinalScoring_n,LiveLeasesAtFinalScoring_excluded,ShareOfMapUnderSightFinalThird_mean,ShareOfMapUnderSightFinalThird_half_width,ShareOfMapUnderSightFinalThird_n,ShareOfMapUnderSightFinalThird_excluded,ConfrontationsWonAgainstEvasiveLoser_mean,ConfrontationsWonAgainstEvasiveLoser_half_width,ConfrontationsWonAgainstEvasiveLoser_n,ConfrontationsWonAgainstEvasiveLoser_excluded,ConfrontationsPerMatch_mean,ConfrontationsPerMatch_half_width,ConfrontationsPerMatch_n,ConfrontationsPerMatch_excluded,PlayersEndingInFlaggedSector_mean,PlayersEndingInFlaggedSector_half_width,PlayersEndingInFlaggedSector_n,PlayersEndingInFlaggedSector_excluded,ConvergenceCardConfrontations_mean,ConvergenceCardConfrontations_half_width,ConvergenceCardConfrontations_n,ConvergenceCardConfrontations_excluded,RoundsFlaggedLoitering_mean,RoundsFlaggedLoitering_half_width,RoundsFlaggedLoitering_n,RoundsFlaggedLoitering_excluded,HeatMapLowConfidenceEntries_mean,HeatMapLowConfidenceEntries_half_width,HeatMapLowConfidenceEntries_n,HeatMapLowConfidenceEntries_excluded,ConfrontationsInFinal3Rounds_mean,ConfrontationsInFinal3Rounds_half_width,ConfrontationsInFinal3Rounds_n,ConfrontationsInFinal3Rounds_excluded
ok,,0,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":0,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300386,0.002885,10000,0,1.313400,0.015133,10000,0,0.836649,0.011899,9279,721,0.113200,0.006210,10000,0,0.809800,0.007693,10000,0,0.206731,0.001907,10000,0,0.000000,0.000000,10000,0,0.614740,0.002303,10000,0,0.435362,0.005266,9927,73,6.554000,0.058757,10000,0,0.143303,0.001132,10000,0,0.416551,0.006523,9904,96,0.060983,0.001298,10000,0,0.275155,0.001765,10000,0,0.211514,0.003915,9927,73
ok,,1,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":1,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300378,0.002885,10000,0,1.313300,0.015133,10000,0,0.835313,0.011872,9284,716,0.113400,0.006215,10000,0,0.809400,0.007699,10000,0,0.206785,0.001908,10000,0,0.003100,0.000769,10000,0,0.614757,0.002303,10000,0,0.435408,0.005266,9927,73,6.553700,0.058766,10000,0,0.143320,0.001133,10000,0,0.416488,0.006522,9904,96,0.060963,0.001297,10000,0,0.275192,0.001765,10000,0,0.211472,0.003914,9927,73
ok,,2,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":2,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300372,0.002885,10000,0,1.313300,0.015133,10000,0,0.835526,0.011876,9283,717,0.113400,0.006215,10000,0,0.809500,0.007697,10000,0,0.206792,0.001908,10000,0,0.002850,0.000738,10000,0,0.614763,0.002304,10000,0,0.435454,0.005266,9926,74,6.553700,0.058771,10000,0,0.143323,0.001133,10000,0,0.416497,0.006524,9904,96,0.060963,0.001297,10000,0,0.275180,0.001764,10000,0,0.211405,0.003911,9926,74
ok,,3,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300380,0.002885,10000,0,1.313300,0.015133,10000,0,0.835788,0.011878,9281,719,0.113400,0.006215,10000,0,0.809500,0.007697,10000,0,0.206785,0.001907,10000,0,0.002400,0.000677,10000,0,0.614763,0.002304,10000,0,0.435449,0.005266,9926,74,6.553900,0.058773,10000,0,0.143317,0.001132,10000,0,0.416517,0.006524,9904,96,0.060970,0.001298,10000,0,0.275168,0.001765,10000,0,0.211425,0.003911,9926,74
ok,,4,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":4,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300380,0.002885,10000,0,1.313300,0.015133,10000,0,0.835782,0.011879,9280,720,0.113400,0.006215,10000,0,0.809500,0.007697,10000,0,0.206777,0.001907,10000,0,0.002350,0.000670,10000,0,0.614763,0.002304,10000,0,0.435449,0.005266,9926,74,6.553900,0.058773,10000,0,0.143317,0.001132,10000,0,0.416517,0.006524,9904,96,0.060970,0.001298,10000,0,0.275168,0.001765,10000,0,0.211425,0.003911,9926,74
ok,,6,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":6,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300386,0.002886,10000,0,1.313250,0.015135,10000,0,0.836096,0.011881,9277,723,0.113500,0.006217,10000,0,0.809700,0.007694,10000,0,0.206769,0.001907,10000,0,0.001800,0.000587,10000,0,0.614747,0.002304,10000,0,0.435409,0.005266,9927,73,6.554100,0.058773,10000,0,0.143317,0.001132,10000,0,0.416542,0.006523,9904,96,0.060970,0.001298,10000,0,0.275159,0.001764,10000,0,0.211511,0.003914,9927,73
ok,,10,2,operator,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":10,""LeaseBlockRounds"":3,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.300385,0.002885,10000,0,1.313350,0.015133,10000,0,0.836949,0.011903,9278,722,0.113400,0.006215,10000,0,0.809600,0.007696,10000,0,0.206754,0.001908,10000,0,0.001200,0.000480,10000,0,0.614747,0.002303,10000,0,0.435367,0.005267,9927,73,6.554200,0.058764,10000,0,0.143310,0.001132,10000,0,0.416567,0.006523,9904,96,0.060973,0.001298,10000,0,0.275156,0.001765,10000,0,0.211530,0.003915,9927,73
