# cinzal-simulate v1 seed=e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09 git_sha=7ce0fd6c7b44e25704aac8001f481628938e2d98 matches=10000 players=2 bots=drifter sweep=LeaseBlockRounds:1,2,4,6
status,error,sweep.LeaseBlockRounds,players,bot_tier,match_count,matches_completed,root_seed,git_sha,config_json,RoutesCancelledMidRoute_mean,RoutesCancelledMidRoute_half_width,RoutesCancelledMidRoute_n,RoutesCancelledMidRoute_excluded,DeliveriesPerPlayer_mean,DeliveriesPerPlayer_half_width,DeliveriesPerPlayer_n,DeliveriesPerPlayer_excluded,WinnerRPLeadOverLastPlace_mean,WinnerRPLeadOverLastPlace_half_width,WinnerRPLeadOverLastPlace_n,WinnerRPLeadOverLastPlace_excluded,AnyPlayerReachedInfamy9_mean,AnyPlayerReachedInfamy9_half_width,AnyPlayerReachedInfamy9_n,AnyPlayerReachedInfamy9_excluded,AnyPlayerStayedAtInfamy2OrBelow_mean,AnyPlayerStayedAtInfamy2OrBelow_half_width,AnyPlayerStayedAtInfamy2OrBelow_n,AnyPlayerStayedAtInfamy2OrBelow_excluded,SectorIncidentsHittingAPlayer_mean,SectorIncidentsHittingAPlayer_half_width,SectorIncidentsHittingAPlayer_n,SectorIncidentsHittingAPlayer_excluded,LiveLeasesAtFinalScoring_mean,LiveLeasesAtFinalScoring_half_width,LiveLeasesAtFinalScoring_n,LiveLeasesAtFinalScoring_excluded,ShareOfMapUnderSightFinalThird_mean,ShareOfMapUnderSightFinalThird_half_width,ShareOfMapUnderSightFinalThird_n,ShareOfMapUnderSightFinalThird_excluded,ConfrontationsWonAgainstEvasiveLoser_mean,ConfrontationsWonAgainstEvasiveLoser_half_width,ConfrontationsWonAgainstEvasiveLoser_n,ConfrontationsWonAgainstEvasiveLoser_excluded,ConfrontationsPerMatch_mean,ConfrontationsPerMatch_half_width,ConfrontationsPerMatch_n,ConfrontationsPerMatch_excluded,PlayersEndingInFlaggedSector_mean,PlayersEndingInFlaggedSector_half_width,PlayersEndingInFlaggedSector_n,PlayersEndingInFlaggedSector_excluded,ConvergenceCardConfrontations_mean,ConvergenceCardConfrontations_half_width,ConvergenceCardConfrontations_n,ConvergenceCardConfrontations_excluded,RoundsFlaggedLoitering_mean,RoundsFlaggedLoitering_half_width,RoundsFlaggedLoitering_n,RoundsFlaggedLoitering_excluded,HeatMapLowConfidenceEntries_mean,HeatMapLowConfidenceEntries_half_width,HeatMapLowConfidenceEntries_n,HeatMapLowConfidenceEntries_excluded,ConfrontationsInFinal3Rounds_mean,ConfrontationsInFinal3Rounds_half_width,ConfrontationsInFinal3Rounds_n,ConfrontationsInFinal3Rounds_excluded
ok,,1,2,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":1,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.188701,0.002052,10000,0,0.002200,0.000649,10000,0,1.735819,0.057146,1103,8897,0.007600,0.001702,10000,0,0.979100,0.002804,10000,0,0.224831,0.001932,10000,0,0.002900,0.000744,10000,0,0.696957,0.002091,10000,0,0.317267,0.005439,9698,302,4.494800,0.047265,10000,0,0.149650,0.001129,10000,0,0.289326,0.005771,9904,96,0.079640,0.001281,10000,0,0.200963,0.001464,10000,0,0.243641,0.004993,9698,302
ok,,2,2,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":2,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.189208,0.002051,10000,0,0.002100,0.000634,10000,0,1.662827,0.051037,1217,8783,0.007700,0.001713,10000,0,0.978900,0.002817,10000,0,0.226462,0.001950,10000,0,0.010850,0.001441,10000,0,0.697617,0.002089,10000,0,0.317812,0.005428,9684,316,4.499200,0.047265,10000,0,0.149800,0.001130,10000,0,0.290585,0.005783,9904,96,0.080067,0.001282,10000,0,0.200211,0.001459,10000,0,0.244183,0.004965,9684,316
ok,,4,2,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":4,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.189434,0.002049,10000,0,0.001950,0.000611,10000,0,1.597290,0.045393,1409,8591,0.007300,0.001669,10000,0,0.979400,0.002784,10000,0,0.227815,0.001960,10000,0,0.022100,0.002052,10000,0,0.698023,0.002089,10000,0,0.317990,0.005424,9687,313,4.508000,0.047308,10000,0,0.149750,0.001135,10000,0,0.290129,0.005791,9904,96,0.080297,0.001277,10000,0,0.199984,0.001466,10000,0,0.244403,0.004971,9687,313
ok,,6,2,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":6,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.189450,0.002049,10000,0,0.002000,0.000619,10000,0,1.554479,0.041256,1556,8444,0.007300,0.001669,10000,0,0.979700,0.002764,10000,0,0.228138,0.001964,10000,0,0.031250,0.002468,10000,0,0.697990,0.002089,10000,0,0.317840,0.005425,9691,309,4.508900,0.047329,10000,0,0.149733,0.001135,10000,0,0.290665,0.005795,9904,96,0.080387,0.001279,10000,0,0.199980,0.001465,10000,0,0.244290,0.004971,9691,309
