# cinzal-simulate v1 seed=e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09 git_sha=7ce0fd6c7b44e25704aac8001f481628938e2d98 matches=10000 players=5 bots=drifter sweep=LeaseBlockRounds:1,2,4,6
status,error,sweep.LeaseBlockRounds,players,bot_tier,match_count,matches_completed,root_seed,git_sha,config_json,RoutesCancelledMidRoute_mean,RoutesCancelledMidRoute_half_width,RoutesCancelledMidRoute_n,RoutesCancelledMidRoute_excluded,DeliveriesPerPlayer_mean,DeliveriesPerPlayer_half_width,DeliveriesPerPlayer_n,DeliveriesPerPlayer_excluded,WinnerRPLeadOverLastPlace_mean,WinnerRPLeadOverLastPlace_half_width,WinnerRPLeadOverLastPlace_n,WinnerRPLeadOverLastPlace_excluded,AnyPlayerReachedInfamy9_mean,AnyPlayerReachedInfamy9_half_width,AnyPlayerReachedInfamy9_n,AnyPlayerReachedInfamy9_excluded,AnyPlayerStayedAtInfamy2OrBelow_mean,AnyPlayerStayedAtInfamy2OrBelow_half_width,AnyPlayerStayedAtInfamy2OrBelow_n,AnyPlayerStayedAtInfamy2OrBelow_excluded,SectorIncidentsHittingAPlayer_mean,SectorIncidentsHittingAPlayer_half_width,SectorIncidentsHittingAPlayer_n,SectorIncidentsHittingAPlayer_excluded,LiveLeasesAtFinalScoring_mean,LiveLeasesAtFinalScoring_half_width,LiveLeasesAtFinalScoring_n,LiveLeasesAtFinalScoring_excluded,ShareOfMapUnderSightFinalThird_mean,ShareOfMapUnderSightFinalThird_half_width,ShareOfMapUnderSightFinalThird_n,ShareOfMapUnderSightFinalThird_excluded,ConfrontationsWonAgainstEvasiveLoser_mean,ConfrontationsWonAgainstEvasiveLoser_half_width,ConfrontationsWonAgainstEvasiveLoser_n,ConfrontationsWonAgainstEvasiveLoser_excluded,ConfrontationsPerMatch_mean,ConfrontationsPerMatch_half_width,ConfrontationsPerMatch_n,ConfrontationsPerMatch_excluded,PlayersEndingInFlaggedSector_mean,PlayersEndingInFlaggedSector_half_width,PlayersEndingInFlaggedSector_n,PlayersEndingInFlaggedSector_excluded,ConvergenceCardConfrontations_mean,ConvergenceCardConfrontations_half_width,ConvergenceCardConfrontations_n,ConvergenceCardConfrontations_excluded,RoundsFlaggedLoitering_mean,RoundsFlaggedLoitering_half_width,RoundsFlaggedLoitering_n,RoundsFlaggedLoitering_excluded,HeatMapLowConfidenceEntries_mean,HeatMapLowConfidenceEntries_half_width,HeatMapLowConfidenceEntries_n,HeatMapLowConfidenceEntries_excluded,ConfrontationsInFinal3Rounds_mean,ConfrontationsInFinal3Rounds_half_width,ConfrontationsInFinal3Rounds_n,ConfrontationsInFinal3Rounds_excluded
ok,,1,5,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":1,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.361377,0.001892,10000,0,0.002280,0.000416,10000,0,2.772661,0.055787,1251,8749,0.094300,0.005728,10000,0,0.999200,0.000554,10000,0,0.389600,0.001907,10000,0,0.001060,0.000285,10000,0,0.409114,0.001109,10000,0,0.325499,0.002386,10000,0,19.102700,0.088039,10000,0,0.150008,0.000714,10000,0,0.814278,0.004910,9887,113,0.090987,0.000882,10000,0,0.370687,0.001115,10000,0,0.229521,0.001793,10000,0
ok,,2,5,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":2,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.361459,0.001887,10000,0,0.002260,0.000414,10000,0,2.588845,0.054285,1423,8577,0.088900,0.005578,10000,0,0.999200,0.000554,10000,0,0.392731,0.001923,10000,0,0.005460,0.000648,10000,0,0.409048,0.001109,10000,0,0.326158,0.002385,10000,0,19.097500,0.087636,10000,0,0.150256,0.000716,10000,0,0.813177,0.004911,9887,113,0.091455,0.000887,10000,0,0.369914,0.001114,10000,0,0.230380,0.001776,10000,0
ok,,4,5,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":4,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.361274,0.001885,10000,0,0.002340,0.000422,10000,0,2.433439,0.049332,1659,8341,0.088200,0.005559,10000,0,0.999000,0.000620,10000,0,0.394746,0.001945,10000,0,0.011480,0.000937,10000,0,0.409571,0.001110,10000,0,0.326908,0.002381,10000,0,19.096900,0.087644,10000,0,0.150397,0.000716,10000,0,0.813354,0.004898,9887,113,0.091360,0.000886,10000,0,0.369617,0.001107,10000,0,0.230892,0.001784,10000,0
ok,,6,5,drifter,10000,10000,e4c50a633bfa5326029d36fcc00ea91af9510b523942539d4f89ed107866aa09,7ce0fd6c7b44e25704aac8001f481628938e2d98,"{""Rounds"":15,""StepsByTier"":[4,4,3,2],""CooldownByTier"":[4,3,2,1],""PostCapByPlayers"":{""2"":4,""3"":4,""4"":4,""5"":3},""LeaseCostPerBlock"":3,""LeaseBlockRounds"":6,""ShakedownCost"":4,""LedgerCost"":3,""GateFee"":1,""StartingBalance"":12,""Contracts"":[{""InfamyRequired"":0,""MinDistance"":3,""MaxDistance"":4,""Payment"":8,""RP"":2,""Deadline"":4,""Penalty"":3,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":3,""MinDistance"":4,""MaxDistance"":6,""Payment"":14,""RP"":3,""Deadline"":5,""Penalty"":5,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":6,""MinDistance"":5,""MaxDistance"":8,""Payment"":20,""RP"":5,""Deadline"":5,""Penalty"":8,""PenaltyInfamy"":0,""OfferWeight"":1},{""InfamyRequired"":9,""MinDistance"":6,""MaxDistance"":0,""Payment"":30,""RP"":8,""Deadline"":6,""Penalty"":12,""PenaltyInfamy"":2,""OfferWeight"":1}],""MapByPlayers"":{""2"":{""Nodes"":15,""MinEdges"":21,""MaxEdges"":23},""3"":{""Nodes"":22,""MinEdges"":31,""MaxEdges"":35},""4"":{""Nodes"":25,""MinEdges"":36,""MaxEdges"":40},""5"":{""Nodes"":28,""MinEdges"":40,""MaxEdges"":45}},""MaxGenAttempts"":1000,""Scavenging"":{""CashRoll"":4,""CashAmount"":3,""RevealRoll"":6},""Pressure"":{""Threshold"":2,""CashPenalty"":5,""InfamyPenalty"":1},""Suppress"":{""Leases"":false,""Incidents"":false,""Events"":false,""InfamyTiers"":false,""Items"":false}}",0.361168,0.001883,10000,0,0.002300,0.000418,10000,0,2.348220,0.046839,1858,8142,0.088000,0.005553,10000,0,0.999200,0.000554,10000,0,0.395208,0.001953,10000,0,0.016360,0.001122,10000,0,0.409729,0.001109,10000,0,0.327407,0.002386,10000,0,19.094400,0.087711,10000,0,0.150276,0.000716,10000,0,0.813393,0.004888,9887,113,0.091392,0.000884,10000,0,0.369697,0.001109,10000,0,0.230748,0.001776,10000,0
